language_id,version_group_id,name
8,22,ソード・シールド
8,23,ブリリアントダイヤモンド・シャイニングパール
8,24,LEGENDS アルセウス
8,25,スカーレット・バイオレット
8,26,LEGENDS Z-A
8,27,チャンピオンズ
9,1,Red/Green (J)
9,2,Blue (J)
9,3,Red/Blue
9,4,Yellow
9,5,Gold/Silver
9,6,Crystal
9,7,红宝石／蓝宝石
9,8,Colosseum
9,9,FireRed/LeafGreen
9,10,綠寶石
9,11,XD: Gale of Darkness
9,12,钻石／珍珠
9,13,白金
9,14,HeartGold/SoulSilver
9,15,黑／白
9,16,黑２／白２
9,17,Ｘ／Ｙ
9,18,欧米伽红宝石／阿尔法蓝宝石
9,19,太阳／月亮
9,20,究极之日／究极之月
9,21,Let's Go！皮卡丘／Let's Go！伊布
9,22,剑／盾
9,23,晶灿钻石／明亮珍珠
9,24,宝可梦传说 阿尔宙斯
9,25,朱／紫
9,26,宝可梦传说 Z-A
9,27,Champions
10,1,Red/Green (J)
10,2,Blue (J)
10,3,Red/Blue
10,4,Yellow
10,5,Gold/Silver
10,6,Crystal
10,7,紅寶石／藍寶石
10,8,Colosseum
10,9,FireRed/LeafGreen
10,10,綠寶石
10,11,XD: Gale of Darkness
10,12,鑽石／珍珠
10,13,白金
10,14,HeartGold/SoulSilver
10,15,黑／白
10,16,黑２／白２
10,17,Ｘ／Ｙ
10,18,歐米加紅寶石／阿爾法藍寶石
10,19,太陽／月亮
10,20,究極之日／究極之月
10,21,Let's Go！皮卡丘／Let's Go！伊布
10,22,劍／盾
10,23,晶燦鑽石／明亮珍珠
10,24,寶可夢傳說 阿爾宙斯
10,25,朱／紫
10,26,寶可夢傳說 Z-A
10,27,Champions
11,1,Roja/Verde (J)
11,2,Azul (J)
11,3,Roja/Azul
11,4,Amarilla
11,5,Oro/Plata
11,6,Cristal
11,7,Rubí/Zafiro
11,8,Colosseum
11,9,Rojo Fuego/Verde Hoja
11,10,Esmeralda
11,11,XD: Tempestad oscura
11,12,Diamante/Perla
11,13,Platino
11,14,Oro HeartGold/Plata SoulSilver
11,15,Negra/Blanca
11,16,Negra 2/Blanca 2
11,17,X/Y
11,18,Rubí Omega/Zafiro Alfa
11,19,Sol/Luna
11,20,Ultrasol/Ultraluna
11,21,"Let's Go, Pikachu!/Let's Go, Eevee!"
11,22,Espada/Escudo
11,23,Diamante Brillante/Perla Reluciente
11,24,Leyendas Pokémon: Arceus
11,25,Escarlata/Púrpura
11,26,Leyendas Pokémon: Z-A
11,27,Champions
