name,pokemon_id
Marowak-Alola-Totem,105051
Hitmonlee,106000
Hitmonchan,107000
Lickitung,108000
Koffing,109000
Weezing,110000
Weezing-Galar,110001
Rhyhorn,111000
Rhydon,112000
Chansey,113000
Tangela,114000
Kangaskhan,115000
Kangaskhan-Mega,115001
Horsea,116000
Seadra,117000
Goldeen,118000
Seaking,119000
Staryu,120000
Starmie,121000
Starmie-Mega,121001
Mr. Mime,122000
Mr. Mime-Galar,122001
Scyther,123000
Jynx,124000
Electabuzz,125000
Magmar,126000
Pinsir,127000
Pinsir-Mega,127001
Tauros,128000
Tauros-Paldea,128001
Tauros-Paldea-Combat,128001
Tauros-Paldea-Blaze,128002
Tauros-Paldea-Fire,128002
Tauros-Paldea-Aqua,128003
Tauros-Paldea-Water,128003
Magikarp,129000
Gyarados,130000
Gyarados-Mega,130001
Lapras,131000
Ditto,132000
Eevee,133000
Eevee-Starter,133051
Vaporeon,134000
Jolteon,135000
Flareon,136000
Porygon,137000
Omanyte,138000
Omastar,139000
Kabuto,140000
Kabutops,141000
Aerodactyl,142000
Aerodactyl-Mega,142001
Snorlax,143000
Articuno,144000
Articuno-Galar,144001
Zapdos,145000
Zapdos-Galar,145001
Moltres,146000
Moltres-Galar,146001
Dratini,147000
Dragonair,148000
Dragonite,149000
Dragonite-Mega,149001
Mewtwo,150000
Mewtwo-Mega-X,150001
Mewtwo-Mega-Y,150002
Mew,151000
Chikorita,152000
Bayleef,153000
Meganium,154000
Meganium-Mega,154001
Cyndaquil,155000
Quilava,156000
Typhlosion,157000
Typhlosion-Hisui,157001
Totodile,158000
Croconaw,159000
Feraligatr,160000
Feraligatr-Mega,160001
Sentret,161000
Furret,162000
Hoothoot,163000
Noctowl,164000
Ledyba,165000
Ledian,166000
Spinarak,167000
Ariados,168000
Crobat,169000
Chinchou,170000
Lanturn,171000
Pichu,172000
Cleffa,173000
Igglybuff,174000
Togepi,175000
Togetic,176000
Natu,177000
Xatu,178000
Mareep,179000
Flaaffy,180000
Ampharos,181000
Ampharos-Mega,181001
Bellossom,182000
Marill,183000
Azumarill,184000
Sudowoodo,185000
Politoed,186000
Hoppip,187000
Skiploom,188000
Jumpluff,189000
Aipom,190000
Sunkern,191000
Sunflora,192000
Yanma,193000
Wooper,194000
Wooper-Paldea,194001
Quagsire,195000
Espeon,196000
Umbreon,197000
Murkrow,198000
Slowking,199000
Slowking-Galar,199001
Misdreavus,200000
Unown,201000
Wobbuffet,202000
Girafarig,203000
Pineco,204000
Forretress,205000
Dunsparce,206000
Gligar,207000
Steelix,208000
Steelix-Mega,208001
Snubbull,209000
Granbull,210000
Qwilfish,211000
Qwilfish-Hisui,211001
Scizor,212000
Scizor-Mega,212001
Shuckle,213000
Heracross,214000
Heracross-Mega,214001
Sneasel,215000
Sneasel-Hisui,215001
Teddiursa,216000
Ursaring,217000
Slugma,218000
Magcargo,219000
Swinub,220000
Piloswine,221000
Corsola,222000
Corsola-Galar,222001
Remoraid,223000
Octillery,224000
Delibird,225000
Mantine,226000
Skarmory,227000
Skarmory-Mega,227001
Houndour,228000
Houndoom,229000
Houndoom-Mega,229001
Kingdra,230000
Phanpy,231000
Donphan,232000
Porygon2,233000
Stantler,234000
Smeargle,235000
Tyrogue,236000
Hitmontop,237000
Smoochum,238000
Elekid,239000
Magby,240000
Miltank,241000
Blissey,242000
Raikou,243000
Entei,244000
Suicune,245000
Larvitar,246000
Pupitar,247000
Tyranitar,248000
Tyranitar-Mega,248001
Lugia,249000
Ho-Oh,250000
Celebi,251000
Treecko,252000
Grovyle,253000
Sceptile,254000
Sceptile-Mega,254001
Torchic,255000
Combusken,256000
Blaziken,257000
Blaziken-Mega,257001
Mudkip,258000
Marshtomp,259000
Swampert,260000
Swampert-Mega,260001
Poochyena,261000
Mightyena,262000
Zigzagoon,263000
Zigzagoon-Galar,263001
Linoone,264000
Linoone-Galar,264001
Wurmple,265000
Silcoon,266000
Beautifly,267000
Cascoon,268000
Dustox,269000
Lotad,270000
Lombre,271000
Ludicolo,272000
Seedot,273000
Nuzleaf,274000
Shiftry,275000
Taillow,276000
Swellow,277000
Wingull,278000
Pelipper,279000
Ralts,280000
Kirlia,281000
Gardevoir,282000
Gardevoir-Mega,282001
Surskit,283000
Masquerain,284000
Shroomish,285000
Breloom,286000
Slakoth,287000
Vigoroth,288000
Slaking,289000
Nincada,290000
Ninjask,291000
Shedinja,292000
Whismur,293000
Loudred,294000
Exploud,295000
Makuhita,296000
Hariyama,297000
Azurill,298000
Nosepass,299000
Skitty,300000
Delcatty,301000
Sableye,302000
Sableye-Mega,302001
Mawile,303000
Mawile-Mega,303001
Aron,304000
Lairon,305000
Aggron,306000
Aggron-Mega,306001
Meditite,307000
Medicham,308000
Medicham-Mega,308001
Electrike,309000
Manectric,310000
Manectric-Mega,310001
Plusle,311000
Minun,312000
Volbeat,313000
Illumise,314000
Roselia,315000
Gulpin,316000
Swalot,317000
Carvanha,318000
Sharpedo,319000
Sharpedo-Mega,319001
Wailmer,320000
Wailord,321000
Numel,322000
Camerupt,323000
Camerupt-Mega,323001
Torkoal,324000
Spoink,325000
Grumpig,326000
Spinda,327000
Trapinch,328000
Vibrava,329000
Flygon,330000
Cacnea,331000
Cacturne,332000
Swablu,333000
Altaria,334000
Altaria-Mega,334001
Zangoose,335000
Seviper,336000
Lunatone,337000
Solrock,338000
Barboach,339000
Whiscash,340000
Corphish,341000
Crawdaunt,342000
Baltoy,343000
Claydol,344000
Lileep,345000
Cradily,346000
Anorith,347000
Armaldo,348000
Feebas,349000
Milotic,350000
Castform,351000
Kecleon,352000
Shuppet,353000
Banette,354000
Banette-Mega,354001
Duskull,355000
Dusclops,356000
Tropius,357000
Chimecho,358000
Chimecho-Mega,358000
Absol,359000
Absol-Mega,359001
Absol-Mega-Z,359002
Wynaut,360000
Snorunt,361000
Glalie,362000
Glalie-Mega,362001
Spheal,363000
Sealeo,364000
Walrein,365000
Clamperl,366000
Huntail,367000
Gorebyss,368000
Relicanth,369000
Luvdisc,370000
Bagon,371000
Shelgon,372000
Salamence,373000
Salamence-Mega,373001
Beldum,374000
Metang,375000
Metagross,376000
Metagross-Mega,376001
Regirock,377000
Regice,378000
Registeel,379000
Latias,380000
Latias-Mega,380001
Latios,381000
Latios-Mega,381001
Kyogre,382000
Kyogre-Primal,382001
Groudon,383000
Groudon-Primal,383001
Rayquaza,384000
Rayquaza-Mega,384001
Jirachi,385000
Deoxys,386000
Deoxys-Attack,386001
Deoxys-Defense,386002
Deoxys-Speed,386003
Turtwig,387000
Grotle,388000
Torterra,389000
Chimchar,390000
Monferno,391000
Infernape,392000
Piplup,393000
Prinplup,394000
Empoleon,395000
Starly,396000
Staravia,397000
Staraptor,398000
Staraptor-Mega,398001
Bidoof,399000
Bibarel,400000
Kricketot,401000
Kricketune,402000
Shinx,403000
Luxio,404000
Luxray,405000
Budew,406000
Roserade,407000
Cranidos,408000
Rampardos,409000
Shieldon,410000
Bastiodon,411000
Burmy,412000
Wormadam,413000
Wormadam-Sandy,413001
Wormadam-Trash,413002
Mothim,414000
Combee,415000
Vespiquen,416000
Pachirisu,417000
Buizel,418000
Floatzel,419000
Cherubi,420000
Cherrim,421000
Shellos,422000
Gastrodon,423000
Ambipom,424000
Drifloon,425000
Drifblim,426000
Buneary,427000
Lopunny,428000
Lopunny-Mega,428001
Mismagius,429000
Honchkrow,430000
Glameow,431000
Purugly,432000
Chingling,433000
Stunky,434000
Skuntank,435000
Bronzor,436000
Bronzong,437000
Bonsly,438000
Mime Jr.,439000
Happiny,440000
Chatot,441000
Spiritomb,442000
Gible,443000
Gabite,444000
Garchomp,445000
Garchomp-Mega,445001
Garchomp-Mega-Z,445002
Munchlax,446000
Riolu,447000
Lucario,448000
Lucario-Mega,448001
Lucario-Mega-Z,448002
Hippopotas,449000
Hippowdon,450000
Skorupi,451000
Drapion,452000
Croagunk,453000
Toxicroak,454000
Carnivine,455000
Finneon,456000
Lumineon,457000
Mantyke,458000
Snover,459000
Abomasnow,460000
Abomasnow-Mega,460001
Weavile,461000
Magnezone,462000
Lickilicky,463000
Rhyperior,464000
Tangrowth,465000
Electivire,466000
Magmortar,467000
Togekiss,468000
Yanmega,469000
Leafeon,470000
Glaceon,471000
Gliscor,472000
Mamoswine,473000
Porygon-Z,474000
Gallade,475000
Gallade-Mega,475001
Probopass,476000
Dusknoir,477000
Froslass,478000
Froslass-Mega,478001
Rotom,479000
Rotom-Heat,479001
Rotom-Wash,479002
Rotom-Frost,479003
Rotom-Fan,479004
Rotom-Mow,479005
Uxie,480000
Mesprit,481000
Azelf,482000
Dialga,483000
Dialga-Origin,483001
Palkia,484000
Palkia-Origin,484001
Heatran,485000
Heatran-Mega,485001
Regigigas,486000
Giratina,487000
Giratina-Origin,487001
Cresselia,488000
Phione,489000
Manaphy,490000
Darkrai,491000
Darkrai-Mega,491001
Shaymin,492000
Shaymin-Sky,492001
Arceus,493000
Arceus-Fighting,493001
Arceus-Flying,493002
Arceus-Poison,493003
Arceus-Ground,493004
Arceus-Rock,493005
Arceus-Bug,493006
Arceus-Ghost,493007
Arceus-Steel,493008
Arceus-Fire,493009
Arceus-Water,493010
Arceus-Grass,493011
Arceus-Electric,493012
Arceus-Psychic,493013
Arceus-Ice,493014
Arceus-Dragon,493015
Arceus-Dark,493016
Arceus-Fairy,493017
Victini,494000
Snivy,495000
Servine,496000
Serperior,497000
Tepig,498000
Pignite,499000
Emboar,500000
Emboar-Mega,500001
Oshawott,501000
Dewott,502000
Samurott,503000
Samurott-Hisui,503001
Patrat,504000
Watchog,505000
Lillipup,506000
Herdier,507000
Stoutland,508000
Purrloin,509000
Liepard,510000
Pansage,511000
Simisage,512000
Pansear,513000
Simisear,514000
Panpour,515000
Simipour,516000
Munna,517000
Musharna,518000
Pidove,519000
Tranquill,520000
Unfezant,521000
Blitzle,522000
Zebstrika,523000
Roggenrola,524000
Boldore,525000
Gigalith,526000
Woobat,527000
Swoobat,528000
Drilbur,529000
Excadrill,530000
Excadrill-Mega,530001
Audino,531000
Audino-Mega,531001
Timburr,532000
Gurdurr,533000
Conkeldurr,534000
Tympole,535000
Palpitoad,536000
Seismitoad,537000
Throh,538000
Sawk,539000
Sewaddle,540000
Swadloon,541000
Leavanny,542000
Venipede,543000
Whirlipede,544000
Scolipede,545000
Scolipede-Mega,545001
Cottonee,546000
Whimsicott,547000
Petilil,548000
Lilligant,549000
Lilligant-Hisui,549001
Basculin,550000
Basculin-White-Striped,550002
Sandile,551000
Krokorok,552000
Krookodile,553000
Darumaka,554000
Darumaka-Galar,554001
Darmanitan,555000
Darmanitan-Galar,555002
Maractus,556000
Dwebble,557000
Crustle,558000
Scraggy,559000
Scrafty,560000
Scrafty-Mega,560001
Sigilyph,561000
Yamask,562000
Yamask-Galar,562001
Cofagrigus,563000
Tirtouga,564000
Carracosta,565000
Archen,566000
Archeops,567000
Trubbish,568000
Garbodor,569000
Zorua,570000
Zorua-Hisui,570001
Zoroark,571000
Zoroark-Hisui,571001
Minccino,572000
Cinccino,573000
Gothita,574000
Gothorita,575000
Gothitelle,576000
Solosis,577000
Duosion,578000
Reuniclus,579000
Ducklett,580000
Swanna,581000
Vanillite,582000
Vanillish,583000
Vanilluxe,584000
Deerling,585000
Sawsbuck,586000
Emolga,587000
Karrablast,588000
Escavalier,589000
Foongus,590000
Amoonguss,591000
Frillish,592000
Jellicent,593000
Alomomola,594000
Joltik,595000
Galvantula,596000
Ferroseed,597000
Ferrothorn,598000
Klink,599000
Klang,600000
Klinklang,601000
Tynamo,602000
Eelektrik,603000
Eelektross,604000
Eelektross-Mega,604001
Elgyem,605000
Beheeyem,606000
Litwick,607000
Lampent,608000
Chandelure,609000
Chandelure-Mega,609001
Axew,610000
Fraxure,611000
Haxorus,612000
Cubchoo,613000
Beartic,614000
Cryogonal,615000
Shelmet,616000
Accelgor,617000
Stunfisk,618000
Stunfisk-Galar,618001
Mienfoo,619000
Mienshao,620000
Druddigon,621000
Golett,622000
Golurk,623000
Golurk-Mega,623001
Pawniard,624000
Bisharp,625000
Bouffalant,626000
Rufflet,627000
Braviary,628000
Braviary-Hisui,628001
Vullaby,629000
Mandibuzz,630000
Heatmor,631000
Durant,632000
Deino,633000
Zweilous,634000
Hydreigon,635000
Larvesta,636000
Volcarona,637000
Cobalion,638000
Terrakion,639000
Virizion,640000
Tornadus,641000
Tornadus-Therian,641001
Thundurus,642000
Thundurus-Therian,642001
Reshiram,643000
Zekrom,644000
Landorus,645000
Landorus-Therian,645001
Kyurem,646000
Kyurem-White,646001
Kyurem-Black,646002
Keldeo,647000
Meloetta,648000
Genesect,649000
Chespin,650000
Quilladin,651000
Chesnaught,652000
Chesnaught-Mega,652001
Fennekin,653000
Braixen,654000
Delphox,655000
Delphox-Mega,655001
Froakie,656000
Frogadier,657000
Greninja,658000
Greninja-Ash,658002
Greninja-Mega,658003
Bunnelby,659000
Diggersby,660000
Fletchling,661000
Fletchinder,662000
Talonflame,663000
Scatterbug,664000
Spewpa,665000
Vivillon,666000
Litleo,667000
Pyroar,668000
Pyroar-Mega,668001
Flabebe,669000
Floette,670000
Floette-Eternal,670005
Floette-Eternal-Flower,670005
Floette-Mega,670006
Florges,671000
Skiddo,672000
Gogoat,673000
Pancham,674000
Pangoro,675000
Furfrou,676000
Espurr,677000
Meowstic,678000
Meowstic-F,678001
Meowstic-M-Mega,678002
Meowstic-F-Mega,678003
Honedge,679000
Doublade,680000
Aegislash,681000
Spritzee,682000
Aromatisse,683000
Swirlix,684000
Slurpuff,685000
Inkay,686000
Malamar,687000
Malamar-Mega,687001
Binacle,688000
Barbaracle,689000
Barbaracle-Mega,689001
Skrelp,690000
Dragalge,691000
Dragalge-Mega,691001
Clauncher,692000
Clawitzer,693000
Helioptile,694000
Heliolisk,695000
Tyrunt,696000
Tyrantrum,697000
Amaura,698000
Aurorus,699000
Sylveon,700000
Hawlucha,701000
Hawlucha-Mega,701001
Dedenne,702000
Carbink,703000
Goomy,704000
Sliggoo,705000
Sliggoo-Hisui,705001
Goodra,706000
Goodra-Hisui,706001
Klefki,707000
Phantump,708000
Trevenant,709000
Pumpkaboo,710000
Pumpkaboo-Small,710001
Pumpkaboo-Large,710002
Pumpkaboo-Super,710003
Gourgeist,711000
Gourgeist-Small,711001
Gourgeist-Large,711002
Gourgeist-Super,711003
Bergmite,712000
Avalugg,713000
Avalugg-Hisui,713001
Noibat,714000
Noivern,715000
Xerneas,716000
Yveltal,717000
Zygarde,718000
Zygarde-10%,718001
Zygarde-Complete,718004
Zygarde-Mega,718005
Diancie,719000
Diancie-Mega,719001
Hoopa,720000
Hoopa-Unbound,720001
Volcanion,721000
Rowlet,722000
Dartrix,723000
Decidueye,724000
Decidueye-Hisui,724001
Litten,725000
Torracat,726000
Incineroar,727000
Popplio,728000
Brionne,729000
Primarina,730000
Pikipek,731000
Trumbeak,732000
Toucannon,733000
Yungoos,734000
Gumshoos,735000
Gumshoos-Totem,735051
Grubbin,736000
Charjabug,737000
Vikavolt,738000
Vikavolt-Totem,738051
Crabrawler,739000
Crabominable,740000
Crabominable-Mega,740001
Oricorio,741000
Oricorio-Pom-Pom,741001
Oricorio-Pa'u,741002
Oricorio-Sensu,741003
Cutiefly,742000
Ribombee,743000
Ribombee-Totem,743051
Rockruff,744000
Rockruff-Dusk,744001
Lycanroc,745000
Lycanroc-Midnight,745001
Lycanroc-Dusk,745002
Wishiwashi,746000
Mareanie,747000
Toxapex,748000
Mudbray,749000
Mudsdale,750000
Dewpider,751000
Araquanid,752000
Araquanid-Totem,752051
Fomantis,753000
Lurantis,754000
Lurantis-Totem,754051
Morelull,755000
Shiinotic,756000
Salandit,757000
Salazzle,758000
Salazzle-Totem,758051
Stufful,759000
Bewear,760000
Bounsweet,761000
Steenee,762000
Tsareena,763000
Comfey,764000
Oranguru,765000
Passimian,766000
Wimpod,767000
Golisopod,768000
Golisopod-Mega,768001
Sandygast,769000
Palossand,770000
Pyukumuku,771000
Type: Null,772000
Silvally,773000
Silvally-Fighting,773001
Silvally-Flying,773002
Silvally-Poison,773003
Silvally-Ground,773004
Silvally-Rock,773005
Silvally-Bug,773006
Silvally-Ghost,773007
Silvally-Steel,773008
Silvally-Fire,773009
Silvally-Water,773010
Silvally-Grass,773011
Silvally-Electric,773012
Silvally-Psychic,773013
Silvally-Ice,773014
Silvally-Dragon,773015
Silvally-Dark,773016
Silvally-Fairy,773017
Minior,774000
Komala,775000
Turtonator,776000
Togedemaru,777000
Togedemaru-Totem,777051
Mimikyu,778000
Mimikyu-Totem,778051
Bruxish,779000
Drampa,780000
Drampa-Mega,780001
Dhelmise,781000
Jangmo-o,782000
Hakamo-o,783000
Kommo-o,784000
Kommo-o-Totem,784051
Tapu Koko,785000
Tapu Lele,786000
Tapu Bulu,787000
Tapu Fini,788000
Cosmog,789000
Cosmoem,790000
Solgaleo,791000
Lunala,792000
Nihilego,793000
Buzzwole,794000
Pheromosa,795000
Xurkitree,796000
Celesteela,797000
Kartana,798000
Guzzlord,799000
Necrozma,800000
Necrozma-Dusk-Mane,800001
Necrozma-Dawn-Wings,800002
Necrozma-Ultra,800003
Magearna,801000
Magearna-Mega,801002
Marshadow,802000
Poipole,803000
Naganadel,804000
Stakataka,805000
Blacephalon,806000
Zeraora,807000
Zeraora-Mega,807001
Meltan,808000
Melmetal,809000
Grookey,810000
Thwackey,811000
Rillaboom,812000
Scorbunny,813000
Raboot,814000
Cinderace,815000
Sobble,816000
Drizzile,817000
Inteleon,818000
Skwovet,819000
Greedent,820000
Rookidee,821000
Corvisquire,822000
Corviknight,823000
Blipbug,824000
Dottler,825000
Orbeetle,826000
Nickit,827000
Thievul,828000
Gossifleur,829000
Eldegoss,830000
Wooloo,831000
Dubwool,832000
Chewtle,833000
Drednaw,834000
Yamper,835000
Boltund,836000
Rolycoly,837000
Carkol,838000
Coalossal,839000
Applin,840000
Flapple,841000
Appletun,842000
Silicobra,843000
Sandaconda,844000
Cramorant,845000
Arrokuda,846000
Barraskewda,847000
Toxel,848000
Toxtricity,849000
Sizzlipede,850000
Centiskorch,851000
Clobbopus,852000
Grapploct,853000
Sinistea,854000
Polteageist,855000
Hatenna,856000
Hattrem,857000
Hatterene,858000
Impidimp,859000
Morgrem,860000
Grimmsnarl,861000
Obstagoon,862000
Perrserker,863000
Cursola,864000
Sirfetch'd,865000
Mr. Rime,866000
Runerigus,867000
Milcery,868000
Alcremie,869000
Falinks,870000
Falinks-Mega,870001
Pincurchin,871000
Snom,872000
Frosmoth,873000
Stonjourner,874000
Eiscue,875000
Eiscue-Noice,875001
Indeedee,876000
Indeedee-F,876001
Morpeko,877000
Cufant,878000
Copperajah,879000
Dracozolt,880000
Arctozolt,881000
Dracovish,882000
Arctovish,883000
Duraludon,884000
Dreepy,885000
Drakloak,886000
Dragapult,887000
Zacian,888000
Zacian-Crowned,888001
Zamazenta,889000
Zamazenta-Crowned,889001
Eternatus,890000
Eternatus-Eternamax,890001
Kubfu,891000
Urshifu,892000
Urshifu-Rapid-Strike,892001
Zarude,893000
Zarude-Dada,893001
Regieleki,894000
Regidrago,895000
Glastrier,896000
Spectrier,897000
Calyrex,898000
Calyrex-Ice,898001
Calyrex-Shadow,898002
Wyrdeer,899000
Kleavor,900000
Ursaluna,901000
Ursaluna-Bloodmoon,901001
Basculegion,902000
Basculegion-F,902001
Sneasler,903000
Overqwil,904000
Enamorus,905000
Enamorus-Therian,905001
Sprigatito,906000
Floragato,907000
Meowscarada,908000
Fuecoco,909000
Crocalor,910000
Skeledirge,911000
Quaxly,912000
Quaxwell,913000
Quaquaval,914000
Lechonk,915000
Oinkologne,916000
Oinkologne-F,916001
Tarountula,917000
Spidops,918000
Nymble,919000
Lokix,920000
Pawmi,921000
Pawmo,922000
Pawmot,923000
Tandemaus,924000
Maushold,925000
Fidough,926000
Dachsbun,927000
Smoliv,928000
Dolliv,929000
Arboliva,930000
Squawkabilly,931000
Nacli,932000
Naclstack,933000
Garganacl,934000
Charcadet,935000
Armarouge,936000
Ceruledge,937000
Tadbulb,938000
Bellibolt,939000
Wattrel,940000
Kilowattrel,941000
Maschiff,942000
Mabosstiff,943000
Shroodle,944000
Grafaiai,945000
Bramblin,946000
Brambleghast,947000
Toedscool,948000
Toedscruel,949000
Klawf,950000
Capsakid,951000
Scovillain,952000
Scovillain-Mega,952001
Rellor,953000
Rabsca,954000
Flittle,955000
Espathra,956000
Tinkatink,957000
Tinkatuff,958000
Tinkaton,959000
Wiglett,960000
Wugtrio,961000
Bombirdier,962000
Finizen,963000
Palafin,964000
Varoom,965000
Revavroom,966000
Cyclizar,967000
Orthworm,968000
Glimmet,969000
Glimmora,970000
Glimmora-Mega,970001
Greavard,971000
Houndstone,972000
Flamigo,973000
Cetoddle,974000
Cetitan,975000
Veluza,976000
Dondozo,977000
Tatsugiri,978000
Tatsugiri-Curly-Mega,978003
Annihilape,979000
Clodsire,980000
Farigiraf,981000
Dudunsparce,982000
Kingambit,983000
Great Tusk,984000
Scream Tail,985000
Brute Bonnet,986000
Flutter Mane,987000
Slither Wing,988000
Sandy Shocks,989000
Iron Treads,990000
Iron Bundle,991000
Iron Hands,992000
Iron Jugulis,993000
Iron Moth,994000
Iron Thorns,995000
Frigibax,996000
Arctibax,997000
Baxcalibur,998000
Baxcalibur-Mega,998001
Gimmighoul,999000
Gimmighoul-Roaming,999001
Gholdengo,1000000
Wo-Chien,1001000
Chien-Pao,1002000
Ting-Lu,1003000
Chi-Yu,1004000
Roaring Moon,1005000
Iron Valiant,1006000
Koraidon,1007000
Miraidon,1008000
Walking Wake,1009000
Iron Leaves,1010000
Dipplin,1011000
Poltchageist,1012000
Sinistcha,1013000
Okidogi,1014000
Munkidori,1015000
Fezandipiti,1016000
Ogerpon,1017000
Ogerpon-Wellspring,1017001
Ogerpon-Hearthflame,1017002
Ogerpon-Cornerstone,1017003
Archaludon,1018000
Hydrapple,1019000
Gouging Fire,1020000
Raging Bolt,1021000
Iron Boulder,1022000
Iron Crown,1023000
Terapagos,1024000
Pecharunt,1025000
