version_group_id,language_id,flag_id,name,description
14,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/b2w2/moves/mirror-move"">Mirror Move</a>."
14,2,8,Has a charging turn,"This move has a charging turn that can be skipped with a <a class=""dex-link"" href=""/dex/b2w2/items/power-herb"">Power Herb</a>."
14,2,9,Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
14,2,10,Punch move,"This move receives a 20% power boost from <a class=""dex-link"" href=""/dex/b2w2/abilities/iron-fist"">Iron Fist</a>."
14,2,11,Sound-based move,"This move does not affect Pokémon with <a class=""dex-link"" href=""/dex/b2w2/abilities/soundproof"">Soundproof</a>"
14,2,12,Unusable during Gravity,"This move cannot be used while <a class=""dex-link"" href=""/dex/b2w2/moves/gravity"">Gravity</a> is in effect."
14,2,13,Defrosts when used,This move can be used while frozen to force the Pokémon to defrost.
14,2,14,Targets opposite side in triples,"In triple battles, this move can target Pokémon on the opposite side from the user."
14,2,15,Heals,"This move is blocked by <a class=""dex-link"" href=""/dex/b2w2/moves/heal-block"">Heal Block</a>."
14,2,16,Ignores Substitute,"This move ignores the target's <a class=""dex-link"" href=""/dex/b2w2/moves/substitute"">Substitute</a>."
15,2,3,Makes contact,This move causes the user to make contact with the target.
15,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/xy/moves/protect"">Protect</a>, <a class=""dex-link"" href=""/dex/xy/moves/detect"">Detect</a>, or <a class=""dex-link"" href=""/dex/xy/moves/spiky-shield"">Spiky Shield</a> this turn."
15,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/xy/moves/magic-coat"">Magic Coat</a> or <a class=""dex-link"" href=""/dex/xy/abilities/magic-bounce"">Magic Bounce</a>."
15,2,6,Snatchable,"The effects of this move can be stolen by a Pokémon using <a class=""dex-link"" href=""/dex/xy/moves/snatch"">Snatch</a>."
15,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/xy/moves/mirror-move"">Mirror Move</a>."
15,2,8,Has a charging turn,"This move has a charging turn that can be skipped with a <a class=""dex-link"" href=""/dex/xy/items/power-herb"">Power Herb</a>."
15,2,9,Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
15,2,10,Punch move,"This move receives a 20% power boost from <a class=""dex-link"" href=""/dex/xy/abilities/iron-fist"">Iron Fist</a>."
15,2,11,Sound-based move,"This move does not affect Pokémon with <a class=""dex-link"" href=""/dex/xy/abilities/soundproof"">Soundproof</a>"
15,2,12,Unusable during Gravity,"This move cannot be used while <a class=""dex-link"" href=""/dex/xy/moves/gravity"">Gravity</a> is in effect."
15,2,13,Defrosts when used,This move can be used while frozen to force the Pokémon to defrost.
15,2,14,Targets opposite side in triples,"In triple battles, this move can target Pokémon on the opposite side from the user."
15,2,15,Heals,"This move is blocked by <a class=""dex-link"" href=""/dex/xy/moves/heal-block"">Heal Block</a>."
15,2,16,Ignores Substitute,"This move ignores the target's <a class=""dex-link"" href=""/dex/xy/moves/substitute"">Substitute</a>."
15,2,17,Unusable during Sky Battles,This move is unusable during Sky Battles.
15,2,18,Ally Animation,This move's animation plays when it targets an ally.
16,2,3,Makes contact,This move causes the user to make contact with the target.
16,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/oras/moves/protect"">Protect</a>, <a class=""dex-link"" href=""/dex/oras/moves/detect"">Detect</a>, or <a class=""dex-link"" href=""/dex/oras/moves/spiky-shield"">Spiky Shield</a> this turn."
16,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/oras/moves/magic-coat"">Magic Coat</a> or <a class=""dex-link"" href=""/dex/oras/abilities/magic-bounce"">Magic Bounce</a>."
16,2,6,Snatchable,"The effects of this move can be stolen by a Pokémon using <a class=""dex-link"" href=""/dex/oras/moves/snatch"">Snatch</a>."
16,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/oras/moves/mirror-move"">Mirror Move</a>."
16,2,8,Has a charging turn,"This move has a charging turn that can be skipped with a <a class=""dex-link"" href=""/dex/oras/items/power-herb"">Power Herb</a>."
16,2,9,Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
16,2,10,Punch move,"This move receives a 20% power boost from <a class=""dex-link"" href=""/dex/oras/abilities/iron-fist"">Iron Fist</a>."
16,2,11,Sound-based move,"This move does not affect Pokémon with <a class=""dex-link"" href=""/dex/oras/abilities/soundproof"">Soundproof</a>"
16,2,12,Unusable during Gravity,"This move cannot be used while <a class=""dex-link"" href=""/dex/oras/moves/gravity"">Gravity</a> is in effect."
16,2,13,Defrosts when used,This move can be used while frozen to force the Pokémon to defrost.
16,2,14,Targets opposite side in triples,"In triple battles, this move can target Pokémon on the opposite side from the user."
16,2,15,Heals,"This move is blocked by <a class=""dex-link"" href=""/dex/oras/moves/heal-block"">Heal Block</a>."
16,2,16,Ignores Substitute,"This move ignores the target's <a class=""dex-link"" href=""/dex/oras/moves/substitute"">Substitute</a>."
16,2,17,Unusable during Sky Battles,This move is unusable during Sky Battles.
16,2,18,Ally Animation,This move's animation plays when it targets an ally.
17,2,3,Makes contact,This move causes the user to make contact with the target.
17,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/sm/moves/protect"">Protect</a>, <a class=""dex-link"" href=""/dex/sm/moves/detect"">Detect</a>, <a class=""dex-link"" href=""/dex/sm/moves/spiky-shield"">Spiky Shield</a>, or <a class=""dex-link"" href=""/dex/sm/moves/baneful-bunker"">Baneful Bunker</a> this turn."
17,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/sm/moves/magic-coat"">Magic Coat</a> or <a class=""dex-link"" href=""/dex/sm/abilities/magic-bounce"">Magic Bounce</a>."
17,2,6,Snatchable,"The effects of this move can be stolen by a Pokémon using <a class=""dex-link"" href=""/dex/sm/moves/snatch"">Snatch</a>."
17,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/sm/moves/mirror-move"">Mirror Move</a>."
17,2,8,Has a charging turn,"This move has a charging turn that can be skipped with a <a class=""dex-link"" href=""/dex/sm/items/power-herb"">Power Herb</a>."
17,2,9,Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
17,2,10,Punch move,"This move receives a 20% power boost from <a class=""dex-link"" href=""/dex/sm/abilities/iron-fist"">Iron Fist</a>."
17,2,11,Sound-based move,"This move does not affect Pokémon with <a class=""dex-link"" href=""/dex/sm/abilities/soundproof"">Soundproof</a>, can be prevented by <a class=""dex-link"" href=""/dex/sm/moves/throat-chop"">Throat Chop</a>, and becomes <a class=""dex-link"" href=""/dex/sm/types/water"">Water</a>-type if used by a Pokémon with <a class=""dex-link"" href=""/dex/sm/abilities/liquid-voice"">Liquid Voice</a>."
17,2,12,Unusable during Gravity,"This move cannot be used while <a class=""dex-link"" href=""/dex/sm/moves/gravity"">Gravity</a> is in effect."
17,2,13,Defrosts when used,This move can be used while frozen to force the Pokémon to defrost.
17,2,14,Targets opposite side in triples,"In triple battles, this move can target Pokémon on the opposite side from the user."
17,2,15,Heals,"This move is blocked by <a class=""dex-link"" href=""/dex/sm/moves/heal-block"">Heal Block</a>."
17,2,16,Ignores Substitute,"This move ignores the target's <a class=""dex-link"" href=""/dex/sm/moves/substitute"">Substitute</a>."
17,2,17,Unusable during Sky Battles,This move is unusable during Sky Battles.
17,2,18,Ally Animation,This move's animation plays when it targets an ally.
17,2,19,Dance,"This move will be copied by Pokémon with <a class=""dex-link"" href=""/dex/sm/abilities/dancer"">Dancer</a>."
18,2,3,Makes contact,This move causes the user to make contact with the target.
18,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/usum/moves/protect"">Protect</a>, <a class=""dex-link"" href=""/dex/usum/moves/detect"">Detect</a>, <a class=""dex-link"" href=""/dex/usum/moves/spiky-shield"">Spiky Shield</a>, or <a class=""dex-link"" href=""/dex/usum/moves/baneful-bunker"">Baneful Bunker</a> this turn."
18,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/usum/moves/magic-coat"">Magic Coat</a> or <a class=""dex-link"" href=""/dex/usum/abilities/magic-bounce"">Magic Bounce</a>."
18,2,6,Snatchable,"The effects of this move can be stolen by a Pokémon using <a class=""dex-link"" href=""/dex/usum/moves/snatch"">Snatch</a>."
18,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/usum/moves/mirror-move"">Mirror Move</a>."
18,2,8,Has a charging turn,"This move has a charging turn that can be skipped with a <a class=""dex-link"" href=""/dex/usum/items/power-herb"">Power Herb</a>."
18,2,9,Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
18,2,10,Punch move,"This move receives a 20% power boost from <a class=""dex-link"" href=""/dex/usum/abilities/iron-fist"">Iron Fist</a>."
18,2,11,Sound-based move,"This move does not affect Pokémon with <a class=""dex-link"" href=""/dex/usum/abilities/soundproof"">Soundproof</a>, can be prevented by <a class=""dex-link"" href=""/dex/usum/moves/throat-chop"">Throat Chop</a>, and becomes <a class=""dex-link"" href=""/dex/usum/types/water"">Water</a>-type if used by a Pokémon with <a class=""dex-link"" href=""/dex/usum/abilities/liquid-voice"">Liquid Voice</a>."
18,2,12,Unusable during Gravity,"This move cannot be used while <a class=""dex-link"" href=""/dex/usum/moves/gravity"">Gravity</a> is in effect."
18,2,13,Defrosts when used,This move can be used while frozen to force the Pokémon to defrost.
18,2,14,Targets opposite side in triples,"In triple battles, this move can target Pokémon on the opposite side from the user."
18,2,15,Heals,"This move is blocked by <a class=""dex-link"" href=""/dex/usum/moves/heal-block"">Heal Block</a>."
18,2,16,Ignores Substitute,"This move ignores the target's <a class=""dex-link"" href=""/dex/usum/moves/substitute"">Substitute</a>."
18,2,17,Unusable during Sky Battles,This move is unusable during Sky Battles.
18,2,18,Ally Animation,This move's animation plays when it targets an ally.
18,2,19,Dance,"This move will be copied by Pokémon with <a class=""dex-link"" href=""/dex/usum/abilities/dancer"">Dancer</a>."
19,2,3,Makes contact,This move causes the user to make contact with the target.
19,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/lgpe/moves/protect"">Protect</a> this turn."
19,2,5,Reflectable,This move can be reflected back at the user with Magic Coat or Magic Bounce.
19,2,6,Snatchable,The effects of this move can be stolen by a Pokémon using Snatch.
19,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/lgpe/moves/mirror-move"">Mirror Move</a>."
19,2,8,Has a charging turn,This move has a charging turn.
19,2,9,Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
19,2,10,Punch move,This is a punch-based move.
19,2,11,Sound-based move,"This move does not affect Pokémon with Soundproof, can be prevented by Throat Chop, and becomes <a class=""dex-link"" href=""/dex/lgpe/types/water"">Water</a>-type if used by a Pokémon with Liquid Voice."
19,2,12,Unusable during Gravity,This move cannot be used while Gravity is in effect.
19,2,13,Defrosts when used,This move can be used while frozen to force the Pokémon to defrost.
19,2,14,Targets opposite side in triples,"In triple battles, this move can target Pokémon on the opposite side from the user."
19,2,15,Heals,This is is a healing move.
19,2,16,Ignores Substitute,"This move ignores the target's <a class=""dex-link"" href=""/dex/lgpe/moves/substitute"">Substitute</a>."
19,2,17,Unusable during Sky Battles,This move is unusable during Sky Battles.
19,2,18,Ally Animation,This move's animation plays when it targets an ally.
19,2,19,Dance,This is a dance-based move.
20,2,3,Makes contact,This move causes the user to make contact with the target.
20,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/ss/moves/protect"">Protect</a>, <a class=""dex-link"" href=""/dex/ss/moves/detect"">Detect</a>, <a class=""dex-link"" href=""/dex/ss/moves/spiky-shield"">Spiky Shield</a>, or <a class=""dex-link"" href=""/dex/ss/moves/baneful-bunker"">Baneful Bunker</a> this turn."
20,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/ss/moves/magic-coat"">Magic Coat</a> or <a class=""dex-link"" href=""/dex/ss/abilities/magic-bounce"">Magic Bounce</a>."
20,2,6,Snatchable,The effects of this move can be stolen by a Pokémon using Snatch.
20,2,7,Copied by Mirror Move,This move can be copied by Mirror Move.
20,2,8,Has a charging turn,"This move has a charging turn that can be skipped with a <a class=""dex-link"" href=""/dex/ss/items/power-herb"">Power Herb</a>."
20,2,9,Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
20,2,10,Punch move,"This move receives a 20% power boost from <a class=""dex-link"" href=""/dex/ss/abilities/iron-fist"">Iron Fist</a>."
20,2,11,Sound-based move,"This move does not affect Pokémon with <a class=""dex-link"" href=""/dex/ss/abilities/soundproof"">Soundproof</a>, can be prevented by <a class=""dex-link"" href=""/dex/ss/moves/throat-chop"">Throat Chop</a>, becomes <a class=""dex-link"" href=""/dex/ss/types/water"">Water</a>-type if used by a Pokémon with <a class=""dex-link"" href=""/dex/ss/abilities/liquid-voice"">Liquid Voice</a>, receives a 30% power boost from <a class=""dex-link"" href=""/dex/ss/abilities/punk-rock"">Punk Rock</a>, and triggers <a class=""dex-link"" href=""/dex/ss/items/throat-spray"">Throat Spray</a>."
20,2,12,Unusable during Gravity,"This move cannot be used while <a class=""dex-link"" href=""/dex/ss/moves/gravity"">Gravity</a> is in effect."
20,2,13,Defrosts when used,This move can be used while frozen to force the Pokémon to defrost.
20,2,14,Targets opposite side in triples,"In triple battles, this move can target Pokémon on the opposite side from the user."
20,2,15,Heals,This is is a healing move.
20,2,16,Ignores Substitute,"This move ignores the target's <a class=""dex-link"" href=""/dex/ss/moves/substitute"">Substitute</a>."
20,2,17,Unusable during Sky Battles,This move is unusable during Sky Battles.
20,2,18,Ally Animation,This move's animation plays when it targets an ally.
20,2,19,Dance,This is a dance-based move.
20,2,20,Metronome,"This move can be called by <a class=""dex-link"" href=""/dex/ss/moves/metronome"">Metronome</a>."
21,2,3,Makes contact,This move causes the user to make contact with the target.
21,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/bdsp/moves/protect"">Protect</a>, <a class=""dex-link"" href=""/dex/bdsp/moves/detect"">Detect</a>, or <a class=""dex-link"" href=""/dex/bdsp/moves/spiky-shield"">Spiky Shield</a> this turn."
21,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/bdsp/moves/magic-coat"">Magic Coat</a> or <a class=""dex-link"" href=""/dex/bdsp/abilities/magic-bounce"">Magic Bounce</a>."
21,2,6,Snatchable,The effects of this move can be stolen by a Pokémon using Snatch.
21,2,7,Copied by Mirror Move,This move can be copied by Mirror Move.
21,2,8,Has a charging turn,"This move has a charging turn that can be skipped with a <a class=""dex-link"" href=""/dex/bdsp/items/power-herb"">Power Herb</a>."
21,2,9,Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
21,2,10,Punch move,"This move receives a 20% power boost from <a class=""dex-link"" href=""/dex/bdsp/abilities/iron-fist"">Iron Fist</a>."
21,2,11,Sound-based move,"This move does not affect Pokémon with <a class=""dex-link"" href=""/dex/bdsp/abilities/soundproof"">Soundproof</a> and can be prevented by <a class=""dex-link"" href=""/dex/bdsp/moves/throat-chop"">Throat Chop</a>."
21,2,12,Unusable during Gravity,"This move cannot be used while <a class=""dex-link"" href=""/dex/bdsp/moves/gravity"">Gravity</a> is in effect."
21,2,13,Defrosts when used,This move can be used while frozen to force the Pokémon to defrost.
21,2,14,Targets opposite side in triples,"In triple battles, this move can target Pokémon on the opposite side from the user."
21,2,15,Heals,This is is a healing move.
21,2,16,Ignores Substitute,"This move ignores the target's <a class=""dex-link"" href=""/dex/bdsp/moves/substitute"">Substitute</a>."
21,2,17,Unusable during Sky Battles,This move is unusable during Sky Battles.
21,2,18,Ally Animation,This move's animation plays when it targets an ally.
21,2,19,Dance,This is a dance-based move.
21,2,20,Metronome,"This move can be called by <a class=""dex-link"" href=""/dex/bdsp/moves/metronome"">Metronome</a>."
22,2,3,Makes contact,This move causes the user to make contact with the target.
22,2,4,Blocked by Protect,This move will be blocked if the target has used a protection move this turn.
22,2,5,Reflectable,This move can be reflected back at the user with Magic Coat or Magic Bounce.
22,2,6,Snatchable,The effects of this move can be stolen by a Pokémon using Snatch.
22,2,7,Copied by Mirror Move,This move can be copied by Mirror Move.
22,2,8,Has a charging turn,This move has a charging turn.
22,2,9,Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
22,2,10,Punch move,This is a punch-based move.
22,2,11,Sound-based move,This is a sound-based move.
22,2,12,Unusable during Gravity,This move cannot be used while Gravity is in effect.
22,2,13,Defrosts when used,This move can be used while frozen to force the Pokémon to defrost.
22,2,14,Targets opposite side in triples,"In triple battles, this move can target Pokémon on the opposite side from the user."
22,2,15,Heals,This is is a healing move.
22,2,16,Ignores Substitute,This move ignores the target's Substitute.
22,2,17,Unusable during Sky Battles,This move is unusable during Sky Battles.
22,2,18,Ally Animation,This move's animation plays when it targets an ally.
22,2,19,Dance,This is a dance-based move.
22,2,20,Metronome,This move can be called by Metronome.
22,2,21,Cures Drowsy,This move cures drowsiness for the user and the target.
22,2,22,Cures Frostbite,This move cures frostbite for the user and the target.
23,2,3,Makes contact,This move causes the user to make contact with the target.
23,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/sv/moves/protect"">Protect</a>, <a class=""dex-link"" href=""/dex/sv/moves/detect"">Detect</a>, <a class=""dex-link"" href=""/dex/sv/moves/spiky-shield"">Spiky Shield</a>, or <a class=""dex-link"" href=""/dex/sv/moves/baneful-bunker"">Baneful Bunker</a> this turn."
23,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/sv/abilities/magic-bounce"">Magic Bounce</a>."
23,2,6,Snatchable,The effects of this move can be stolen by a Pokémon using Snatch.
23,2,7,Copied by Mirror Move,This move can be copied by Mirror Move.
23,2,8,Has a charging turn,"This move has a charging turn that can be skipped with a <a class=""dex-link"" href=""/dex/sv/items/power-herb"">Power Herb</a>."
23,2,9,Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
23,2,10,Punch move,"This move recieves a 20% power boost from <a class=""dex-link"" href=""/dex/sv/abilities/iron-fist"">Iron Fist</a>, and a 10% power boost from <a class=""dex-link"" href=""/dex/sv/items/punching-glove"">Punching Glove</a>."
23,2,11,Sound-based move,"This move does not affect Pokémon with <a class=""dex-link"" href=""/dex/sv/abilities/soundproof"">Soundproof</a>, can be prevented by <a class=""dex-link"" href=""/dex/sv/moves/throat-chop"">Throat Chop</a>, becomes <a class=""dex-link"" href=""/dex/sv/types/water"">Water</a>-type if used by a Pokémon with <a class=""dex-link"" href=""/dex/sv/abilities/liquid-voice"">Liquid Voice</a>, receives a 30% power boost from <a class=""dex-link"" href=""/dex/sv/abilities/punk-rock"">Punk Rock</a>, and triggers <a class=""dex-link"" href=""/dex/sv/items/throat-spray"">Throat Spray</a>."
23,2,12,Unusable during Gravity,"This move cannot be used while <a class=""dex-link"" href=""/dex/sv/moves/gravity"">Gravity</a> is in effect."
23,2,13,Defrosts when used,This move can be used while frozen to force the Pokémon to defrost.
23,2,14,Targets opposite side in triples,"In triple battles, this move can target Pokémon on the opposite side from the user."
23,2,15,Heals,This is is a healing move.
23,2,16,Ignores Substitute,"This move ignores the target's <a class=""dex-link"" href=""/dex/sv/moves/substitute"">Substitute</a>."
23,2,17,Unusable during Sky Battles,This move is unusable during Sky Battles.
23,2,18,Ally Animation,This move's animation plays when it targets an ally.
23,2,19,Dance,"This move will be copied by Pokémon with <a class=""dex-link"" href=""/dex/sv/abilities/dancer"">Dancer</a>."
23,2,20,Metronome,"This move can be called by <a class=""dex-link"" href=""/dex/sv/moves/metronome"">Metronome</a>."
23,2,23,Encore fails,"The move <a class=""dex-link"" href=""/dex/sv/moves/encore"">Encore</a> will fail if this move was used last by its target."
23,2,24,Me First fails,The move Me First will fail if this move was used last by its target.
23,2,25,Future attack,This move triggers an attack in the future.
