generation_id,language_id,ability_id,description
4,1,42,はがねタイプの　ポケモンを\nにげられなくする。
4,1,43,おとの　わざを\nうけない。
4,1,44,あめのとき　すこしずつ\nＨＰを　かいふくする。
4,1,45,せんとうで　すなあらしを\nおこす。
4,1,46,あいての　つかう　わざの\nＰＰを　おおく　へらす。
4,1,47,ほのおと　こおりタイプの\nわざに　つよい。
4,1,48,おきるのが　はやくなる。\n
4,1,49,ふれた　あいてを　やけど\nさせることがある。
4,1,50,やせいの　ポケモンから\nかならず　にげられる。
4,1,51,あいてに　めいちゅうりつを\nさげられない。
4,1,52,あいてに　こうげきを\nさげられない。
4,1,53,どうぐを　ひろってくる\nことが　ある。
4,1,54,こうげきが　れんぞくで\nだせない。
4,1,55,こうげきは　たかいが\nはずれやすい。
4,1,56,ふれると　メロメロに\nすることがある。
4,1,57,マイナスが　いると\nとくこうが　あがる。
4,1,58,プラスが　いると\nとくこうが　あがる。
4,1,59,てんきで　ポワルンが\nへんかする。
4,1,60,どうぐを　とられない。\n
4,1,61,じょうたい　いじょうを\nなおす　ことがある。
4,1,62,じょうたい　いじょうで\nこうげきが　あがる。
4,1,63,じょうたい　いじょうで\nぼうぎょが　あがる。
4,1,64,すいとった　あいての\nＨＰを　へらす
4,1,65,ピンチのとき　くさの\nいりょくが　あがる。
4,1,66,ピンチのとき　ほのおの\nいりょくが　あがる。
4,1,67,ピンチのとき　みずの\nいりょくが　あがる。
4,1,68,ピンチのとき　むしの\nいりょくが　あがる。
4,1,69,ぶつかっても\nはんどうを　うけない。
4,1,70,せんとうに　でると\nにほんばれに　なる。
4,1,71,せんとうで　あいてを\nにげられなくする。
4,1,72,ねむり　じょうたいに\nならない。
4,1,73,あいてに　のうりょくを\nさげられない。
4,1,74,ぶつり　こうげきの\nいりょくが　あがる。
4,1,75,あいての　こうげきが\nきゅうしょに　あたらない。
4,1,76,てんきの　えいきょうが\nなくなる。
4,1,77,こんらん　していると\nかいひ　しやすくなる。
4,1,78,でんきを　うけると\nすばやさが　あがる。
4,1,79,せいべつが　おなじだと\nこうげきが　あがる。
4,1,80,ひるむ　たびに\nすばやさが　あがる。
4,1,81,てんきが　あられのとき\nかいひりつが　あがる。
4,1,82,きのみを　いつもより\nはやく　つかう。
4,1,83,きゅうしょに　うけると\nこうげきが　あがる。
4,1,84,どうぐが　なくなると\nすばやさが　あがる。
4,1,85,ほのお　わざの\nいりょくを　よわめる。
4,1,86,のうりょく　へんかが\nいつもより　はげしい。
4,1,87,あついと　ＨＰが　へる。\nみずで　ＨＰを　かいふく。
4,1,88,あいての　のうりょくを\nみて　つよさを　かえる。
4,1,89,パンチを　つかう　わざの\nいりょくが　あがる。
4,1,90,どくじょうたいに　なると\nＨＰを　かいふくする。
4,1,91,タイプが　おなじ　わざの\nいりょくが　あがる。
4,1,92,れんぞく　わざを\nたくさん　だせる。
4,1,93,じょうたい　いじょうが\nあめの　とき　なおる。
4,1,94,はれると　ＨＰが　へるが\nとくこうが　あがる。
4,1,95,じょうたい　いじょうで\nすばやさが　あがる。
4,1,96,だしたわざが　すべて\nノーマルタイプに　なる。
4,1,97,きゅうしょに　あてたとき\nいりょくが　あがる。
4,1,98,こうげき　いがいでは\nダメージを　うけない。
4,1,99,おたがいの　わざが\nかならず　あたる。
4,1,100,あいてより　すばやくても\nこうどうが　おそくなる。
4,1,101,よわい　わざの\nいりょくが　あがる。
4,1,102,じょうたい　いじょうに\nはれのとき　ならない。
4,1,103,もっている　どうぐを\nつかうことが　できない。
4,1,104,とくせいに　かんけいなく\nあいてに　わざを　だせる。
4,1,105,あいての　きゅうしょに\nこうげきが　あたりやすい。
4,1,106,ひんしの　ときに　ふれた\nあいてに　ダメージ。
4,1,107,あいての　もつ　きけんな\nわざを　さっちする。
4,1,108,あいての　もつ　わざを\nよみとることが　できる。
4,1,109,あいての　のうりょくの\nへんかを　むしする。
4,1,110,こうかいまひとつ　のとき\nわざを　つよめる。
4,1,111,こうかばつぐん　のとき\nいりょくを　よわめる。
4,1,112,こうげきと　すばやさが\nしばらく　はんぶんになる。
4,1,113,ゴーストタイプに　わざが\nあたるようになる。
4,1,114,みずタイプの　わざを\nすべて　うける。
4,1,115,てんきが　あられのとき\nＨＰを　かいふくする。
4,1,116,こうかばつぐん　のとき\nいりょくを　よわめる。
4,1,117,せんとうに　でると\nあられを　ふらす。
4,1,118,あまいミツを　あつめて\nくることが　ある。
4,1,119,あいての　もちものを\nしることが　できる。
4,1,120,はんどうで　ダメージを\nうけるわざが　つよくなる。
4,1,121,もっている　プレートで\nタイプが　かわる。
4,1,122,はれのとき　じぶんと\nみかたが　つよくなる。
4,1,123,ねむっている　あいての\nＨＰを　へらす。
4,2,1,The stench helps keep\nwild Pokémon away.
4,2,2,The Pokémon makes it rain\nif it appears in battle.
4,2,3,Its Speed stat is\ngradually boosted.
4,2,4,The Pokémon is protected\nagainst critical hits.
4,2,5,It is protected against\n1-hit KO attacks.
4,2,6,Prevents combatants\nfrom self-destructing.
4,2,7,The Pokémon is protected\nfrom paralysis.
4,2,8,Boosts the Pokémon’s\nevasion in a sandstorm.
4,2,9,Contact with the Pokémon\nmay cause paralysis.
4,2,10,Restores HP if hit by an\nElectric-type move.
4,2,11,Restores HP if hit by a\nWater-type move.
4,2,12,Prevents it from\nbecoming infatuated.
4,2,13,Eliminates the effects of\nweather.
4,2,14,The Pokémon’s accuracy\nis boosted.
4,2,15,Prevents the Pokémon\nfrom falling asleep.
4,2,16,Changes the Pokémon’s\ntype to the foe’s move.
4,2,17,Prevents the Pokémon\nfrom getting poisoned.
4,2,18,It powers up Fire-type\nmoves if it’s hit by one.
4,2,19,Blocks the added effects\nof attacks taken.
4,2,20,Prevents the Pokémon\nfrom becoming confused.
4,2,21,Negates foes’ moves that\nforce switching out.
4,2,22,Lowers the foe’s\nAttack stat.
4,2,23,Prevents the foe from\nescaping.
4,2,24,Inflicts damage to the\nfoe on contact.
4,2,25,Only supereffective\nmoves will hit.
4,2,26,Gives full immunity to all\nGround-type moves.
4,2,27,"Contact may paralyze,\npoison, or cause sleep."
4,2,28,"Passes a burn, poison,\nor paralysis to the foe."
4,2,29,Prevents its stats from\nbeing lowered.
4,2,30,All status problems heal\nwhen it switches out.
4,2,31,The Pokémon draws in all\nElectric-type moves.
4,2,32,Boosts the likelihood of\nadded effects appearing.
4,2,33,Boosts the Pokémon’s\nSpeed in rain.
4,2,34,Boosts the Pokémon’s\nSpeed in sunshine.
4,2,35,Raises the likelihood of\nmeeting wild Pokémon.
4,2,36,The Pokémon copies the\nfoe’s ability.
4,2,37,Raises the Pokémon’s\nAttack stat.
4,2,38,Contact with the Pokémon\nmay poison the foe.
4,2,39,The Pokémon is protected\nfrom flinching.
4,2,40,Prevents the Pokémon\nfrom becoming frozen.
4,2,41,Prevents the Pokémon\nfrom getting a burn.
4,2,42,Prevents Steel-type\nPokémon from escaping.
4,2,43,Gives full immunity to all\nsound-based moves.
4,2,44,The Pokémon gradually\nrecovers HP in rain.
4,2,45,The Pokémon summons a\nsandstorm in battle.
4,2,46,The Pokémon raises the\nfoe’s PP usage.
4,2,47,Ups resistance to Fire-\nand Ice-type moves.
4,2,48,The Pokémon awakens\nquickly from sleep.
4,2,49,Contact with the Pokémon\nmay burn the foe.
4,2,50,Enables sure getaway\nfrom wild Pokémon.
4,2,51,Prevents the Pokémon\nfrom losing accuracy.
4,2,52,Prevents the Attack\nstat from being lowered.
4,2,53,The Pokémon may\npick up items.
4,2,54,Pokémon can’t attack\non consecutive turns.
4,2,55,"Boosts the Attack stat,\nbut lowers accuracy."
4,2,56,Contact with the Pokémon\nmay cause infatuation.
4,2,57,Ups Sp. Atk if another\nPokémon has Minus.
4,2,58,Ups Sp. Atk if another\nPokémon has Plus.
4,2,59,CASTFORM transforms with\nthe weather.
4,2,60,Protects the Pokémon\nfrom item theft.
4,2,61,The Pokémon may heal its\nown status problems.
4,2,62,Boosts Attack if there is\na status problem.
4,2,63,Ups Defense if there is\na status problem.
4,2,64,Inflicts damage on foes\nusing any draining move.
4,2,65,Powers up Grass-type\nmoves in a pinch.
4,2,66,Powers up Fire-type\nmoves in a pinch.
4,2,67,Powers up Water-type\nmoves in a pinch.
4,2,68,Powers up Bug-type\nmoves in a pinch.
4,2,69,Protects the Pokémon\nfrom recoil damage.
4,2,70,The Pokémon makes it\nsunny if it is in battle.
4,2,71,Prevents the foe from\nfleeing.
4,2,72,Prevents the Pokémon\nfrom falling asleep.
4,2,73,Prevents its stats from\nbeing lowered.
4,2,74,Boosts the power of\nphysical attacks.
4,2,75,The Pokémon is protected\nagainst critical hits.
4,2,76,Eliminates the effects of\nweather.
4,2,77,Raises evasion if the\nPokémon is confused.
4,2,78,Raises Speed if hit by an\nElectric-type move.
4,2,79,Raises Attack if the foe\nis of the same gender.
4,2,80,Raises Speed each time\nthe Pokémon flinches.
4,2,81,Raises evasion in a\nhailstorm.
4,2,82,Encourages the early use\nof a held Berry.
4,2,83,Raises Attack upon\ntaking a critical hit.
4,2,84,Raises Speed if a held\nitem is used.
4,2,85,Weakens the power of\nFire-type moves.
4,2,86,The Pokémon is prone to\nwild stat changes.
4,2,87,Reduces HP if it is hot.\nWater restores HP.
4,2,88,Adjusts power according\nto the foe’s ability.
4,2,89,Boosts the power of\npunching moves.
4,2,90,Restores HP if the\nPokémon is poisoned.
4,2,91,Powers up moves of the\nsame type.
4,2,92,Increases the frequency\nof multi-strike moves.
4,2,93,Heals status problems if\nit is raining.
4,2,94,"Boosts Sp. Atk, but\nlowers HP in sunshine."
4,2,95,Boosts Speed if there is\na status problem.
4,2,96,All the Pokémon’s moves\nbecome the Normal type.
4,2,97,Powers up moves if they\nbecome critical hits.
4,2,98,The Pokémon only takes\ndamage from attacks.
4,2,99,Ensures both Pokémon’s\nand foe’s attacks land.
4,2,100,The Pokémon moves after\neven slower foes.
4,2,101,Powers up the Pokémon’s\nweaker moves.
4,2,102,Prevents problems with\nstatus in sunny weather.
4,2,103,The Pokémon can’t use\nany held items.
4,2,104,Moves can be used\nregardless of abilities.
4,2,105,Heightens the critical-\nhit ratios of moves.
4,2,106,Damages the foe landing\nthe finishing hit.
4,2,107,Senses the foe’s\ndangerous moves.
4,2,108,Determines what moves\nthe foe has.
4,2,109,Ignores any change in\nability by the foe.
4,2,110,Powers up “not very\neffective” moves.
4,2,111,Reduces damage from\nsupereffective attacks.
4,2,112,Temporarily halves\nAttack and Speed.
4,2,113,Enables moves to hit\nGhost-type foes.
4,2,114,The Pokémon draws in all\nWater-type moves.
4,2,115,The Pokémon regains HP in\na hailstorm.
4,2,116,Reduces damage from\nsupereffective attacks
4,2,117,The Pokémon summons a\nhailstorm in battle.
4,2,118,The Pokémon may gather\nHoney from somewhere.
4,2,119,The Pokémon can check\nthe foe’s held item.
4,2,120,Powers up moves that\nhave recoil damage.
4,2,121,Changes type to match\nthe held Plate.
4,2,122,Powers up party Pokémon\nwhen it is sunny.
4,2,123,Reduces a sleeping\nfoe’s HP.
4,3,1,La puanteur peut repous-\nser les Pokémon sauvages.
4,3,2,Le Pokémon invoque la pluie\nquand il entre au combat.
4,3,3,La Vitesse du Pokémon\naugmente progressivement.
4,3,4,Le Pokémon est protégé\ndes coups critiques.
4,3,5,Protège des capacités\nmettant K.O. en un coup.
4,3,6,Empêche les combattants\nde s’autodétruire.
4,3,7,Protège le Pokémon de\nla paralysie.
4,3,8,Augmente l’esquive lors\ndes tempêtes de sable.
4,3,9,Un contact avec le\nPokémon peut paralyser.
4,3,10,Récupère des PV si touché\npar une capacité Electrik.
4,3,11,Récupère des PV si touché\npar une capacité Eau.
4,3,12,Empêche le Pokémon de\ntomber amoureux.
4,3,13,Annule les effets du\nclimat.
4,3,14,Augmente la précision du\nPokémon.
4,3,15,Empêche le Pokémon de\ns’endormir.
4,3,16,Le Pokémon adopte le type\nde la capacité ennemie.
4,3,17,Empêche le Pokémon d’être\nempoisonné.
4,3,18,Booste capacités Feu si\ntouché par attaques Feu.
4,3,19,Annule les effets cumulés\nd’une attaque ennemie.
4,3,20,Empêche la confusion.
4,3,21,Annule les cap. forçant\nà changer de Pokémon.
4,3,22,Baisse l’Attaque ennemie.
4,3,23,Empêche le Pokémon ennemi\nde quitter le combat.
4,3,24,Le Pokémon blesse\nl’ennemi qui le touche.
4,3,25,Seules capacités “super\nefficaces” l’atteignent.
4,3,26,Immunise contre toutes\nles capacités de type Sol.
4,3,27,"Peut paralyser, empoison-\nner, endormir au contact."
4,3,28,"Transmet brûlure, poison\nou paralysie à l’ennemi."
4,3,29,Peut empêcher les stats\ndu Pokémon de baisser.
4,3,30,Quitter le combat soigne\nles problèmes de statut.
4,3,31,Le Pokémon attire les\ncapacités Electrik.
4,3,32,Augmente la fréquence\ndu cumul d’effets.
4,3,33,Augmente la Vitesse du\nPokémon s’il pleut.
4,3,34,Augmente la Vitesse du\nPokémon s’il y a du soleil.
4,3,35,Augmente les rencontres\navec Pokémon sauvages.
4,3,36,Imite la capacité spéciale\nde l’ennemi.
4,3,37,Augmente l’Attaque du\nPokémon.
4,3,38,Peut empoisonner l’ennemi\ns’il y a contact.
4,3,39,Empêche le Pokémon\nd’avoir peur.
4,3,40,Protège le Pokémon\ncontre le gel.
4,3,41,Protège le Pokémon\ndes brûlures.
4,3,42,Empêche les Pokémon Acier\nde fuir.
4,3,43,Protège de toutes les\ncapacités sonores.
4,3,44,Récupère progressivement\ndes PV par temps de pluie.
4,3,45,Le Pokémon invoque une\ntempête de sable.
4,3,46,Force l’ennemi à\ndépenser plus de PP.
4,3,47,Augmente la résistance\naux cap. Feu et Glace.
4,3,48,Le Pokémon se réveille\nplus rapidement.
4,3,49,Peut brûler l’ennemi s’il y\na contact.
4,3,50,Permet de fuir n’importe\nquel Pokémon sauvage.
4,3,51,Empêche le Pokémon de\nperdre en précision.
4,3,52,Empêche la réduction de\nl’Attaque.
4,3,53,Permet parfois au Pokémon\nde ramasser des objets.
4,3,54,Le Pokémon ne frappe\nqu’un tour sur deux.
4,3,55,Améliore l’Attaque mais\ndiminue la précision.
4,3,56,Séduit parfois l’ennemi\nau contact.
4,3,57,Améliore l’Atq. Spé. si un\nautre Pokémon a Minus.
4,3,58,Améliore l’Atq. Spé. si un\nautre Pokémon a Plus.
4,3,59,MORPHEO change de forme\nselon le climat.
4,3,60,Protège le Pokémon\ncontre le vol d’objets.
4,3,61,Le Pokémon soigne parfois\nses problèmes de statut.
4,3,62,Augmente l’Attaque s’il y\na un problème de statut.
4,3,63,Augmente la Défense s’il y\na un problème de statut.
4,3,64,Blesse l’ennemi qui draine\nl’énergie du Pokémon.
4,3,65,Booste les capacités\nPlante en cas de besoin.
4,3,66,Booste les capacités\nFeu en cas de besoin.
4,3,67,Booste les capacités\nEau en cas de besoin.
4,3,68,Booste les capacités\nInsecte en cas de besoin.
4,3,69,Protège le Pokémon des\ndégâts de contrecoups.
4,3,70,Invoque le soleil quand il\nest au combat.
4,3,71,Empêche l’ennemi de\ns’enfuir.
4,3,72,Empêche le Pokémon\nde s’endormir.
4,3,73,Empêche la réduction des\nstats du Pokémon.
4,3,74,Augmente la puissance des\nattaques physiques.
4,3,75,Protège le Pokémon contre\nles coups critiques.
4,3,76,Annule les effets du\nclimat.
4,3,77,Augmente l’esquive si le\nPokémon est confus.
4,3,78,Augmente la Vit. si touché\npar une cap. Electrik.
4,3,79,Augmente l’Attaque si\nl’ennemi est du même sexe.
4,3,80,Augmente la Vitesse quand\nle Pokémon a peur.
4,3,81,Augmente l’esquive durant\nles tempêtes de grêle.
4,3,82,Encourage l’utilisation\nd’une Baie tenue.
4,3,83,Monte l’Attaque au max.\naprès un coup critique.
4,3,84,Augmente la Vit. si l’objet\ntenu est utilisé ou perdu.
4,3,85,Réduit la puissance des\ncapacités de type Feu.
4,3,86,Le Pokémon est sujet à\ndes variations de stats.
4,3,87,Perd des PV à la chaleur.\nL’eau les restaure.
4,3,88,Ajuste la puissance selon\nl’ennemi.
4,3,89,Augmente la puissance des\ncapacités coups de poing.
4,3,90,Restaure des PV si le\nPokémon est empoisonné.
4,3,91,Augmente la puissance des\ncapacités de même type.
4,3,92,Augmente la fréquence des\nattaques multiples.
4,3,93,Soigne les problèmes de\nstatut s’il pleut.
4,3,94,Augmente l’Atq. Spé. mais\nbaisse les PV au soleil.
4,3,95,Augmente la Vitesse s’il y\na un problème de statut.
4,3,96,Toutes les capacités sont\nde type Normal.
4,3,97,Booste les capacités qui\nsont des coups critiques.
4,3,98,Seule une attaque directe\npeut blesser le Pokémon.
4,3,99,Attaques du Pokémon et\nde l’ennemi réussissent.
4,3,100,"Attaque toujours après \nl’ennemi, même plus lent."
4,3,101,Augmente la puissance des\ncapacités les plus faibles.
4,3,102,Empêche les problèmes\nde statut au soleil.
4,3,103,Le Pokémon ne peut\nutiliser aucun objet tenu.
4,3,104,Cap. utilisables quelles\nque soient les cap. spé.
4,3,105,Augmente la fréquence\ndes coups critiques.
4,3,106,Blesse l’ennemi qui \nporte le coup de grâce.
4,3,107,Prévoit les capacités\nennemies dangereuses.
4,3,108,Découvre la capacité\nennemie la plus puissante.
4,3,109,Ignore les changements de\nstats de l’ennemi.
4,3,110,Améliore les capacités\n“pas très efficaces”.
4,3,111,Affaiblit les capacités\n“super efficaces”.
4,3,112,Divise temporairement\nVitesse et Attaque par 2.
4,3,113,Les capacités touchent\nles Pokémon Spectre.
4,3,114,Attire les attaques Eau\nvisant un Pokémon.
4,3,115,Récupère des PV lors des\ntempêtes de grêle.
4,3,116,Affaiblit les capacités\n“super efficaces”.
4,3,117,Déclenche une tempête de\ngrêle pendant le combat.
4,3,118,Le Pokémon peut parfois\ntrouver du Miel.
4,3,119,Permet de connaître\nl’objet tenu par l’ennemi.
4,3,120,Booste les cap. ayant des\ndégâts de contrecoups.
4,3,121,Modifie le type en fonction\nde la Plaque tenue.
4,3,122,Pokémon de l’équipe plus\npuissants au soleil.
4,3,123,Réduit les PV d’un ennemi\nendormi.
4,4,1,"Hilft, wilde Pokémon\nfernzuhalten."
4,4,2,Ruft im Kampf\nRegen herbei.
4,4,3,Erhöht Initiative nach\nund nach.
4,4,4,Wehrt Volltreffer ab.
4,4,5,Schutz gegen\nK.O.-Treffer-Angriffe.
4,4,6,Verhindert Selbstzer-\nstörung der Kämpfenden.
4,4,7,Verhindert Paralyse.
4,4,8,Erhöht Fluchtwert im\nSandsturm.
4,4,9,Kann bei Berührung\nparalysieren.
4,4,10,Wandelt Elektrizität in\nKP um.
4,4,11,Wandelt Wasser in KP um.
4,4,12,Verhindert Anziehung.
4,4,13,Keine Wetter-Effekte.
4,4,14,Steigert Genauigkeit.
4,4,15,Verhindert Einschlafen.
4,4,16,Typ des Anwenders wird zu\ndem der gegnerischen Att.
4,4,17,Verhindert Vergiftungen.
4,4,18,"Verstärkt Feuer-A., wenn\nv. Feuer-A. getroffen."
4,4,19,Blockiert Zusatz-Effekte\ngegnerischer Angriffe.
4,4,20,Verhindert Verwirrung.
4,4,21,"Neg. gegn. Att., die PKMN\naustauschen würden."
4,4,22,Senkt Angriff des\nGegners.
4,4,23,Hindert Gegner an Flucht.
4,4,24,Verletzt bei Berührung.
4,4,25,Nur sehr effektive Treffer\nschaden.
4,4,26,Volle Immunität gegen\nalle Boden-Attacken.
4,4,27,"Bei Kontakt evtl. Paraly.,\nVergiftg. oder Schlaf."
4,4,28,"Gibt Verbrennung, Ver-\ngiftung u. Paraly. an Geg."
4,4,29,Verhindert Absenken\nder Statuswerte evtl.
4,4,30,Heilt bei Austausch\nStatusprobleme.
4,4,31,Zieht Elektro-Attacken\nan.
4,4,32,Erhöht Chance für\nZusatz-Effekte.
4,4,33,Steigert Initiative bei\nRegen.
4,4,34,Steigert Initiative bei\nSonnenschein.
4,4,35,Mehr Pokémon-\nBegegnungen.
4,4,36,Das Pokémon kopiert \nFähigkeit des Gegners.
4,4,37,Steigert den Angriffs-\nWert eines Pokémon.
4,4,38,Vergiftet den Gegner\neventuell bei Berührung.
4,4,39,Verhindert\nZurückschrecken.
4,4,40,Verhindert Einfrieren.
4,4,41,Verhindert\nVerbrennungen.
4,4,42,Verhindert Flucht von\nStahl-Pokémon.
4,4,43,Immun gegen Lärm-\nAttacken.
4,4,44,Langsame Wiederherstellg.\nvon KP bei Regen.
4,4,45,Erzeugt einen Sandsturm.
4,4,46,Steigert den Verbrauch\nder AP des Gegners.
4,4,47,Schutz vor Hitze\nund Kälte.
4,4,48,Schnelles Aufwachen.
4,4,49,Kann bei Kontakt zu\nVerbrennung führen.
4,4,50,Erleichtert das\nEntkommen.
4,4,51,Verhindert Verlust der\nGenauigkeit.
4,4,52,Verhindert Angriff-Reduz.
4,4,53,Kann Items aufnehmen.
4,4,54,Greift nur in jedem\n2. Zug an.
4,4,55,"Erhöht Angriffs-Wert,\nsenkt Genauigkeit."
4,4,56,Kann bei Kontakt\nbetörend wirken.
4,4,57,"Steigert Spezial-Angriff,\nwenn ein PKMN Minus hat."
4,4,58,"Steigert Spezial-Angriff,\nwenn ein PKMN Plus hat."
4,4,59,FORMEO verändert seine\nForm abhängig vom Wetter.
4,4,60,Verhindert Item-\nDiebstahl.
4,4,61,PKMN heilt eventuell\nseine Statusprobleme.
4,4,62,Steigert Angriff bei\nStatusproblemen.
4,4,63,Steigert Verteidigung bei\nStatusproblemen.
4,4,64,"Schadet Gegnern, die\nSaug-Attacken einsetzen."
4,4,65,Stärkt Pflanzen-\nAttacken in Not.
4,4,66,Stärkt Feuer-Attacken\nin Not.
4,4,67,Stärkt Wasser-Attacken\nin Not.
4,4,68,Stärkt Käfer-Attacken\nin Not.
4,4,69,"Verhindert Schaden, der\ndurch Rückstoß entsteht."
4,4,70,Erzeugt Sonne im Kampf.
4,4,71,Verhindert Flucht\ndes Gegners.
4,4,72,Verhindert Einschlafen.
4,4,73,Verhindert das Absenken\nder Statuswerte.
4,4,74,Steigert Kraft physischer\nAngriffe.
4,4,75,Wehrt Volltreffer ab.
4,4,76,Eliminiert die Wirkung\ndes Wetters.
4,4,77,"Erhöht Fluchtwert, wenn\ndas Pokémon verwirrt ist."
4,4,78,Erhöht Initiative nach\neiner Elektro-Attacke.
4,4,79,"Erhöht Angriff, wenn Gegn.\ndasselbe Geschlecht hat."
4,4,80,"Erhöht Initiative, sobald\nPokémon zurückschreckt."
4,4,81,Erhöht Fluchtwert\nwährend Hagelschauer.
4,4,82,Ermutigt zum frühzeitigen\nVerwenden einer Beere.
4,4,83,Maximiert Angriff n. Ein-\nstecken e. Volltreffers.
4,4,84,"Erhöht Init., wenn 1 Item\nverwendet/verloren wird."
4,4,85,Senkt die Kraft von\nFeuer-Attacken.
4,4,86,Das Pokémon ist anfällig\nfür Statusveränderungen.
4,4,87,Heißes Wetter reduziert\nKP. Wasser steigert KP.
4,4,88,Passt Kraft entsprechend\nder gegn. Statuswerte an.
4,4,89,Steigert die Effektivität\nvon Box-Attacken.
4,4,90,"Steigert KP, wenn das\nPokémon vergiftet ist."
4,4,91,Steigert Attacken\ndesselben Typs.
4,4,92,Erhöht die Häufigkeit von\nMehrfach-Attacken.
4,4,93,Heilt Statusprobleme\nbei Regen.
4,4,94,"Steigert Spezial-Angriff\nbei Sonne, senkt aber KP."
4,4,95,Erhöht Initiative bei\nStatusproblemen.
4,4,96,Alle Attacken des Pokémon\nwerden zu Normal-Att.
4,4,97,Steigert Attacken nach\nVolltreffern.
4,4,98,Das PKMN nimmt nur durch\ndirekte Attacken Schaden.
4,4,99,Angriffe des Pokémon und\ndes Gegners treffen.
4,4,100,Das Pokémon bewegt sich \nnach weniger agilen Gegn.
4,4,101,Steigert Effektivität von\nschwächeren Attacken.
4,4,102,Verhindert Status-\nprobleme bei Sonne.
4,4,103,Das Pokémon kann keine\ngetrag. Items verwenden.
4,4,104,Att. können unabhängig d.\nFähigkeit verw. werden.
4,4,105,Erhöht die Chance auf\neinen Volltreffer.
4,4,106,"Schadet dem Gegn., der\nfinale Attacke landet."
4,4,107,Ahnt gefährliche Attacken\ndes Gegners voraus.
4,4,108,Gibt Auskunft über die\nstärkste gegn. Attacke.
4,4,109,Ignoriert Wechsel der\nStatuswerte des Gegners.
4,4,110,Steigert nicht sehr\neffektive Attacken.
4,4,111,Senkt die Stärke sehr\neffektiver Attacken.
4,4,112,Halbiert zeitweilig Angriff\nund Initiative.
4,4,113,"Ermöglicht, mit Attacken\nGeist-Gegner zu treffen."
4,4,114,"Zieht offens. Wasser-Att.\nan, die auf 1 PKMN zielen."
4,4,115,Das Pokémon regeneriert\nwährend Hagelsturm KP.
4,4,116,Senkt die Stärke sehr\neffektiver Attacken.
4,4,117,Pokémon beschwört einen\nHagelsturm herauf.
4,4,118,Pokémon kann Honig\nsammeln.
4,4,119,Gibt Auskunft über\ngegnerische Items.
4,4,120,Steigert Attacken mit\nRückstoß-Schaden.
4,4,121,Passt seinen Typ der\ngetragenen Tafel an.
4,4,122,Steigert Effektivität von\nTeam-Pokémon bei Sonne.
4,4,123,Senkt die KP eines\nschlafenden Gegners.
4,5,1,Questo tanfo allontana\ni Pokémon selvatici.
4,5,2,"Se scende in campo, il\nPokémon attira pioggia."
4,5,3,Graduale aumento della\nVelocità del Pokémon.
4,5,4,Evita che il Pokémon\nsubisca brutti colpi.
4,5,5,Protegge dalle mosse che\ncausano KO in un colpo.
4,5,6,L’autodistruzione di chi\nè in campo è impedita.
4,5,7,Il Pokémon è protetto\ncontro la paralisi.
4,5,8,Elusione del Pokémon sale\nnella tempesta di sabbia.
4,5,9,"Al contatto subito, può\ncausare paralisi."
4,5,10,Ridà PS se si subisce una\nmossa di tipo Elettro.
4,5,11,Ridà PS se si subisce\nuna mossa di tipo Acqua.
